POI_ID,Tên (Tiếng Việt),Tên (English),Tên gốc,Mã Tầng,Tên Tầng,Level,Vĩ độ (Lat),Kinh độ (Lng),Loại (Type),Danh mục (Category),Số điện thoại,Website,Giờ mở cửa,Trạng thái,Logo URL
420370496161,,,,420322446262,F0 - Arrival|Checkin,0,10.814515969431,106.66268831652,,,,,,available,
420364750101,+84 Bakery,+84 Bakery,+84 Bakery,420322446363,F1 - Departure,1,10.812703860191,106.66171552539,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23709031471735028758.png
420364758383,+84Cafe,+84Cafe,+84Cafe,420322446262,F0 - Arrival|Checkin,0,10.813665187566,106.66248144301,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23708613801735028756.png
420364756666,7 Colors,7 Colors,7 Colors,420322446363,F1 - Departure,1,10.813965100388,106.66181482235,node-poi,3,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18582434881735028757.png
420364789696,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.813330374432,106.66178280148,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364789797,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.813664461131,106.6618162719,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790202,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.814084502394,106.66184616609,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790303,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.813445562561,106.66178867539,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790000,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.813553005567,106.66180162272,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790101,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,420322446262,F0 - Arrival|Checkin,0,10.814203288844,106.66185501743,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364789595,banhmikep,banhmikep,banhmikep,420322446262,F0 - Arrival|Checkin,0,10.814824583171,106.66246621152,node-poi,"8,18",+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18562595621735028755.png
420364753939,Big Bowl,Big Bowl,Big Bowl,420322446363,F1 - Departure,1,10.81333135133,106.66196145804,node-poi,8,+84 28 3848 5634,http://bigbowl.com/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18583231771735028757.png
420364791818,Big Bowl,Big Bowl,Big Bowl,420322446262,F0 - Arrival|Checkin,0,10.814913707905,106.66247308452,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18561017691735028755.png
420364755252,Burger King,Burger King,Burger King,420322446363,F1 - Departure,1,10.814117664946,106.66236519814,node-poi,"8,18",+84 90 933 19 55,http://burgerking.dk/,5AM-9PM,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18579518501735028757.png
420364788888,Bưu Điện,Post Office,Bưu Điện,420322446262,F0 - Arrival|Checkin,0,10.813600730788,106.66232820707,node-poi,20,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18562240831735028755.png
420371693434,Cabin T5,Cabin T5,Cabin T5,420322446262,F0 - Arrival|Checkin,0,10.814205498481,106.66209501861,node-poi,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/17490907712422412.png
420364756565,Calvin Klein Jeans,Calvin Klein Jeans,Calvin Klein Jeans,420322446363,F1 - Departure,1,10.813406570728,106.66196769207,node-poi,9,+84 28 3848 5634,https://www.calvinklein.com.br/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18582949171735028757.png
420364751010,Coffee & Cake,Coffee & Cake,Coffee & Cake,420322446363,F1 - Departure,1,10.814722225848,106.66211518129,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23474179051735028757.png
420364750303,Công ty TNHH TMDV Tư Vấn Trường Minh,Truong Minh Service Trading Consultant Company Limited,Công ty TNHH TMDV Tư Vấn Trường Minh,420322446363,F1 - Departure,1,10.814132224587,106.66217759865,node-poi,"1,3,8",+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23477082071735028758.png
420364748888,Crunchy Snacks,Crunchy Snacks,Crunchy Snacks,420322446363,F1 - Departure,1,10.81328885644,106.66226457334,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23475862341735028758.png
420364754141,Cửa 01-02,Gate 01-02,Cửa 01-02,420322446363,F1 - Departure,1,10.812761817003,106.66153751541,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364755050,Cửa 03,Gate 03,Cửa 03,420322446363,F1 - Departure,1,10.812977960142,106.66155766554,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364755151,Cửa 04,Gate 04,Cửa 04,420322446363,F1 - Departure,1,10.813123530094,106.66157029407,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364754848,Cửa 05,Gate 05,Cửa 05,420322446363,F1 - Departure,1,10.813265270706,106.66158492049,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364754949,Cửa 06,Gate 06,Cửa 06,420322446363,F1 - Departure,1,10.813402132338,106.66159624099,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364749797,Cửa 07,Gate 07,Cửa 07,420322446363,F1 - Departure,1,10.813557270849,106.66161222291,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364749696,Cửa 08,Gate 08,Cửa 08,420322446363,F1 - Departure,1,10.813720046736,106.66162678225,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364749999,Cửa 09,Gate 09,Cửa 09,420322446363,F1 - Departure,1,10.81391184736,106.66164569183,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364754747,Cửa 10,Gate 10,Cửa 10,420322446363,F1 - Departure,1,10.814094477275,106.66166283018,poi-gate,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
